96,196373,0.697,0.553,0.586,0,11,0.0813,-6.319,0.0362,126.684,0.443
59,192173,0.466,0.653,0.425,0,7,0.273,-6.253,0.0264,101.795,0.484
79,275280,0.965,0.71,0.0565,0,7,0.0889,-15.099,0.0534,123.994,0.348
35,235236,0.181,0.442,0.39,2.80E-05,8,0.127,-7.916,0.0285,99.157,0.247
75,228093,0.138,0.73,0.77,0,8,0.0473,-5.114,0.0298,104.948,0.507
42,241688,0.634,0.566,0.664,0,4,0.116,-5.303,0.0464,128.945,0.437
82,261640,0.272,0.508,0.72,0,11,0.0563,-5.908,0.0628,79.983,0.472
86,242186,0.595,0.686,0.457,0,11,0.105,-8.322,0.0468,150.953,0.718
80,190185,0.106,0.616,0.432,0,7,0.132,-9.546,0.133,84.778,0.302
85,269560,0.922,0.422,0.264,0,8,0.132,-7.064,0.0322,119.93,0.331
81,216120,0.0197,0.399,0.787,6.07E-05,1,0.0685,-2.88,0.0499,117.089,0.572
76,257839,0.0654,0.664,0.705,0,1,0.115,-4.972,0.0382,122.017,0.477
89,233712,0.581,0.825,0.652,0,1,0.0931,-3.183,0.0802,95.977,0.931
76,230226,0.0285,0.573,0.739,0,0,0.111,-5.74,0.129,97.085,0.451
68,209320,0.00261,0.762,0.7,1.56E-05,9,0.153,-6.021,0.0694,116.073,0.608
37,216896,0.186,0.768,0.517,3.80E-05,7,0.104,-4.323,0.0312,104.992,0.418
86,259550,0.779,0.587,0.299,0,8,0.123,-7.365,0.0263,94.992,0.356
69,180786,0.0259,0.864,0.474,0.0487,0,0.0906,-8.41,0.0367,111.952,0.602
81,269600,0.0285,0.489,0.588,2.11E-06,1,0.0906,-6.177,0.0507,113.617,0.187
74,223854,0.358,0.736,0.847,0,1,0.101,-4.287,0.0756,143.996,0.915
68,180560,0.141,0.78,0.68,1.20E-05,4,0.138,-6.081,0.0305,118.026,0.594
87,244960,0.414,0.748,0.524,0,8,0.111,-5.599,0.0338,95.01,0.661
74,252733,0.365,0.479,0.545,0,7,0.0963,-7.346,0.0688,74.897,0.244
